Geographical Regions ,District,Voters 
Terai Region,Jhapa,454491
Terai Region,Morang,495433
Terai Region,Sunsari,372154
Terai Region,Saptari,294707
Terai Region,Siraha,291126
Terai Region,Dhanusha,337728
Terai Region,Mahottari,267364
Terai Region,Sarlahi,320649
Terai Region,Rautahat,279872
Terai Region,Bara,296528
Terai Region,Parsa,251871
Terai Region,Nawalpasari,317783
Terai Region,Rupandehi,388315
Terai Region,Kapilbastu,238857
Terai Region,Banke,209167
Terai Region,Bardiya,216389
Terai Region,Kailali,333661
Terai Region,Kanchanpur,198920
Inner Terai Region,Udayapur,142888
Inner Terai Region,Sindhuli,140119
Inner Terai Region,Makawanpur,192234
Inner Terai Region,Chitwan,273803
Inner Terai Region,Dang,238737
Inner Terai Region,Surkhet,154811
Hilly Region,Ilam,163554
Hilly Region,Panchthar,95797
Hilly Region,Tehrathum,52426
Hilly Region,Dhankuta,82632
Hilly Region,Bhojpur,90943
Hilly Region,Khotang,99664
Hilly Region,Okaldhunga,80528
Hilly Region,Ramechhap,111721
Hilly Region,Kabhrepanachok,208626
Hilly Region,Lalitpur,200204
Hilly Region,Bhaktapur,149558
Hilly Region,Kathmandu,532110
Hilly Region,Dhading,171038
Hilly Region,Nuwakot,155017
Hilly Region,Gorkha,138657
Hilly Region,Lamjung,88548
Hilly Region,Tanahun,162768
Hilly Region,Kaski,197668
Hilly Region,Syangja,162879
Hilly Region,Palpa,136181
Hilly Region,Gulmi,150664
Hilly Region,Parbat,83074
Hilly Region,Myagdi,56553
Hilly Region,Baglung,129046
Hilly Region,Arghakhanchi,107232
Hilly Region,Pyuthan,106486
Hilly Region,Rolpa,94459
Hilly Region,Rukum,86463
Hilly Region,Jajarkot,64503
Hilly Region,Salyan,103235
Hilly Region,Dailekh,114073
Hilly Region,Achham,112830
Hilly Region,Doti,89413
Hilly Region,Dadeldhura,65868
Hilly Region,Baitadi,114017
Mountain Region,Taplejung,58809
Mountain Region,Sankhuwasabha,81237
Mountain Region,Solukhumbu,52749
Mountain Region,Dolakha,111074
Mountain Region,SindhuPalchok,171104
Mountain Region,Rasuwa,23533
Mountain Region,Manang,4795
Mountain Region,Mustang,6942
Mountain Region,Dolpa,14860
Mountain Region,Mugu,23821
Mountain Region,Jumla,47445
Mountain Region,Kalikot,53534
Mountain Region,Humla,22116
Mountain Region,Bajura,58810
Mountain Region,Bajhang,84912
Mountain Region,Darchula,66082